day_of_week,period,carpark,hour,red,white
Monday,School,CP3,0,2,1
Monday,School,CP3,1,2,1
Monday,School,CP3,2,2,1
Monday,School,CP3,3,2,1
Monday,School,CP3,4,2,1
Monday,School,CP3,5,2,1
Monday,School,CP3,6,2,2
Monday,School,CP3,7,2,16
Monday,School,CP3,8,1,33
Monday,School,CP3,9,2,50
Monday,School,CP3,10,4,57
Monday,School,CP3,11,4,63
Monday,School,CP3,12,4,67
Monday,School,CP3,13,4,70
Monday,School,CP3,14,4,67
Monday,School,CP3,15,3,62
Monday,School,CP3,16,2,60
Monday,School,CP3,17,3,57
Monday,School,CP3,18,2,31
Monday,School,CP3,19,1,16
Monday,School,CP3,20,1,11
Monday,School,CP3,21,1,9
Monday,School,CP3,22,1,5
Monday,School,CP3,23,1,2
Tuesday,School,CP3,0,1,2
Tuesday,School,CP3,1,1,1
Tuesday,School,CP3,2,1,1
Tuesday,School,CP3,3,1,1
Tuesday,School,CP3,4,1,1
Tuesday,School,CP3,5,1,1
Tuesday,School,CP3,6,1,1
Tuesday,School,CP3,7,1,4
Tuesday,School,CP3,8,1,12
Tuesday,School,CP3,9,2,12
Tuesday,School,CP3,10,2,13
Tuesday,School,CP3,11,2,13
Tuesday,School,CP3,12,1,11
Tuesday,School,CP3,13,2,10
Tuesday,School,CP3,14,2,10
Tuesday,School,CP3,15,2,10
Tuesday,School,CP3,16,1,6
Tuesday,School,CP3,17,1,2
Tuesday,School,CP3,18,1,2
Tuesday,School,CP3,19,1,1
Tuesday,School,CP3,20,1,1
Tuesday,School,CP3,21,1,1
Tuesday,School,CP3,22,1,2
Tuesday,School,CP3,23,1,2
Wednesday,School,CP3,0,1,2
Wednesday,School,CP3,1,1,2
Wednesday,School,CP3,2,1,2
Wednesday,School,CP3,3,1,2
Wednesday,School,CP3,4,1,2
Wednesday,School,CP3,5,1,2
Wednesday,School,CP3,6,1,3
Wednesday,School,CP3,7,0,16
Wednesday,School,CP3,8,1,41
Wednesday,School,CP3,9,6,62
Wednesday,School,CP3,10,7,71
Wednesday,School,CP3,11,6,76
Wednesday,School,CP3,12,8,77
Wednesday,School,CP3,13,6,80
Wednesday,School,CP3,14,5,86
Wednesday,School,CP3,15,6,83
Wednesday,School,CP3,16,6,80
Wednesday,School,CP3,17,5,71
Wednesday,School,CP3,18,2,41
Wednesday,School,CP3,19,0,18
Wednesday,School,CP3,20,1,13
Wednesday,School,CP3,21,1,10
Wednesday,School,CP3,22,1,7
Thursday,School,CP3,6,0,2
Thursday,School,CP3,7,0,14
Thursday,School,CP3,8,1,42
Thursday,School,CP3,9,3,69
Thursday,School,CP3,10,4,82
Thursday,School,CP3,11,4,82
Thursday,School,CP3,12,4,84
Thursday,School,CP3,13,3,85
Thursday,School,CP3,14,3,93
Thursday,School,CP3,15,4,102
Thursday,School,CP3,16,6,96
Thursday,School,CP3,17,5,82
Thursday,School,CP3,18,2,40
Thursday,School,CP3,19,3,17
Thursday,School,CP3,20,3,13
Thursday,School,CP3,21,2,7
Thursday,School,CP3,22,2,2
Thursday,School,CP3,23,1,1
Friday,School,CP3,0,1,1
Friday,School,CP3,1,1,1
Friday,School,CP3,2,0,1
Friday,School,CP3,3,0,1
Friday,School,CP3,4,0,1
Friday,School,CP3,5,0,1
Friday,School,CP3,6,0,3
Friday,School,CP3,7,0,11
Friday,School,CP3,8,1,38
Friday,School,CP3,9,2,55
Friday,School,CP3,10,5,69
Friday,School,CP3,11,5,74
Friday,School,CP3,12,5,76
Friday,School,CP3,13,3,79
Friday,School,CP3,14,2,79
Friday,School,CP3,15,5,70
Friday,School,CP3,16,8,127
Friday,School,CP3,17,11,178
Friday,School,CP3,18,11,167
Friday,School,CP3,19,9,167
Friday,School,CP3,20,9,164
Friday,School,CP3,21,2,131
Friday,School,CP3,22,1,12
Friday,School,CP3,23,1,1
Saturday,School,CP3,0,1,0
Saturday,School,CP3,1,1,0
Saturday,School,CP3,2,1,0
Saturday,School,CP3,3,1,0
Saturday,School,CP3,4,1,0
Saturday,School,CP3,5,1,0
Saturday,School,CP3,6,1,0
Saturday,School,CP3,7,1,0
Saturday,School,CP3,8,1,2
Saturday,School,CP3,9,2,5
Saturday,School,CP3,10,1,9
Saturday,School,CP3,11,1,9
Saturday,School,CP3,12,2,8
Saturday,School,CP3,13,3,10
Saturday,School,CP3,14,4,11
Saturday,School,CP3,15,5,9
Saturday,School,CP3,16,5,9
Saturday,School,CP3,17,5,31
Saturday,School,CP3,18,4,37
Saturday,School,CP3,19,2,37
Saturday,School,CP3,20,2,31
Saturday,School,CP3,21,2,25
Saturday,School,CP3,22,2,15
Saturday,School,CP3,23,2,0
Sunday,School,CP3,0,2,0
Sunday,School,CP3,1,2,0
Sunday,School,CP3,2,2,0
Sunday,School,CP3,3,2,0
Sunday,School,CP3,4,2,0
Sunday,School,CP3,5,2,0
Sunday,School,CP3,6,2,0
Sunday,School,CP3,7,2,4
Sunday,School,CP3,8,1,30
Sunday,School,CP3,9,1,38
Sunday,School,CP3,10,1,39
Sunday,School,CP3,11,1,38
Sunday,School,CP3,12,1,41
Sunday,School,CP3,13,1,38
Sunday,School,CP3,14,1,35
Sunday,School,CP3,15,1,34
Sunday,School,CP3,16,2,46
Sunday,School,CP3,17,2,51
Sunday,School,CP3,18,0,50
Sunday,School,CP3,19,0,8
Sunday,School,CP3,20,0,2
Sunday,School,CP3,21,0,1
Sunday,School,CP3,22,0,1
Sunday,School,CP3,23,0,1
Monday,School,CP3,0,0,1
Monday,School,CP3,1,0,1
Monday,School,CP3,2,0,2
Monday,School,CP3,3,0,2
Monday,School,CP3,4,0,2
Monday,School,CP3,5,0,2
Monday,School,CP3,6,0,3
Monday,School,CP3,7,1,14
Monday,School,CP3,8,1,41
Monday,School,CP3,9,4,56
Monday,School,CP3,10,4,60
Monday,School,CP3,11,5,67
Monday,School,CP3,12,5,70
Monday,School,CP3,13,6,75
Monday,School,CP3,14,7,73
Monday,School,CP3,15,7,73
Monday,School,CP3,16,9,73
Monday,School,CP3,17,9,64
Monday,School,CP3,18,7,51
Monday,School,CP3,19,3,31
Monday,School,CP3,20,2,32
Monday,School,CP3,21,1,28
Monday,School,CP3,22,1,14
Monday,School,CP3,23,1,5
Tuesday,School,CP3,0,1,1
Tuesday,School,CP3,1,1,1
Tuesday,School,CP3,2,1,2
Tuesday,School,CP3,3,1,2
Tuesday,School,CP3,4,1,2
Tuesday,School,CP3,5,1,2
Tuesday,School,CP3,6,1,5
Tuesday,School,CP3,7,1,21
Tuesday,School,CP3,8,3,39
Tuesday,School,CP3,9,4,67
Tuesday,School,CP3,10,3,72
Tuesday,School,CP3,11,3,73
Tuesday,School,CP3,12,3,78
Tuesday,School,CP3,13,2,91
Tuesday,School,CP3,14,4,108
Tuesday,School,CP3,15,6,186
Tuesday,School,CP3,16,7,185
Tuesday,School,CP3,17,8,174
Tuesday,School,CP3,18,8,101
Tuesday,School,CP3,19,5,27
Tuesday,School,CP3,20,2,19
Tuesday,School,CP3,21,1,18
Tuesday,School,CP3,22,0,14
Tuesday,School,CP3,23,1,4
Wednesday,School,CP3,0,1,2
Wednesday,School,CP3,1,1,2
Wednesday,School,CP3,2,1,2
Wednesday,School,CP3,3,1,2
Wednesday,School,CP3,4,1,2
Wednesday,School,CP3,5,1,2
Wednesday,School,CP3,6,1,4
Wednesday,School,CP3,7,1,12
Wednesday,School,CP3,8,4,39
Wednesday,School,CP3,9,4,53
Wednesday,School,CP3,10,4,62
Wednesday,School,CP3,11,5,66
Wednesday,School,CP3,12,6,74
Wednesday,School,CP3,13,6,78
Wednesday,School,CP3,14,8,84
Wednesday,School,CP3,15,9,84
Wednesday,School,CP3,16,9,81
Wednesday,School,CP3,17,9,75
Wednesday,School,CP3,18,6,40
Wednesday,School,CP3,19,2,14
Wednesday,School,CP3,20,2,15
Wednesday,School,CP3,21,1,15
Wednesday,School,CP3,22,1,14
Thursday,School,CP3,5,0,1
Thursday,School,CP3,6,0,2
Thursday,School,CP3,7,0,13
Thursday,School,CP3,8,1,36
Thursday,School,CP3,9,2,59
Thursday,School,CP3,10,4,68
Thursday,School,CP3,11,5,83
Thursday,School,CP3,12,7,81
Thursday,School,CP3,13,7,86
Thursday,School,CP3,14,9,87
Thursday,School,CP3,15,9,87
Thursday,School,CP3,16,9,81
Thursday,School,CP3,17,8,72
Thursday,School,CP3,18,4,39
Thursday,School,CP3,19,2,22
Thursday,School,CP3,20,2,19
Thursday,School,CP3,21,2,14
Thursday,School,CP3,22,2,8
Thursday,School,CP3,23,1,0
Friday,School,CP3,0,1,0
Friday,School,CP3,1,1,0
Friday,School,CP3,2,1,0
Friday,School,CP3,3,1,0
Friday,School,CP3,4,1,0
Friday,School,CP3,5,1,1
Friday,School,CP3,6,1,2
Friday,School,CP3,7,1,13
Friday,School,CP3,8,2,32
Friday,School,CP3,9,4,59
Friday,School,CP3,10,4,64
Friday,School,CP3,11,6,65
Friday,School,CP3,12,4,67
Friday,School,CP3,13,7,82
Friday,School,CP3,14,7,81
Friday,School,CP3,15,5,83
Friday,School,CP3,16,5,82
Friday,School,CP3,17,6,74
Friday,School,CP3,18,5,46
Friday,School,CP3,19,2,35
Friday,School,CP3,20,1,26
Friday,School,CP3,21,0,23
Friday,School,CP3,22,0,21
Friday,School,CP3,23,0,4
Saturday,School,CP3,7,0,2
Saturday,School,CP3,8,0,5
Saturday,School,CP3,9,1,7
Saturday,School,CP3,10,2,15
Saturday,School,CP3,11,2,20
Saturday,School,CP3,12,3,19
Saturday,School,CP3,13,5,21
Saturday,School,CP3,14,5,32
Saturday,School,CP3,15,4,38
Saturday,School,CP3,16,5,37
Saturday,School,CP3,17,4,33
Saturday,School,CP3,18,3,57
Saturday,School,CP3,19,5,149
Saturday,School,CP3,20,5,156
Saturday,School,CP3,21,5,156
Saturday,School,CP3,22,1,46
Saturday,School,CP3,23,1,7
Sunday,School,CP3,0,1,0
Sunday,School,CP3,1,1,0
Sunday,School,CP3,2,1,1
Sunday,School,CP3,3,1,1
Sunday,School,CP3,4,1,1
Sunday,School,CP3,5,1,1
Sunday,School,CP3,6,1,1
Sunday,School,CP3,7,1,2
Sunday,School,CP3,8,1,3
Sunday,School,CP3,9,1,4
Sunday,School,CP3,10,2,9
Sunday,School,CP3,11,2,10
Sunday,School,CP3,12,2,9
Sunday,School,CP3,13,1,9
Sunday,School,CP3,14,1,8
Sunday,School,CP3,15,1,11
Sunday,School,CP3,16,1,11
Sunday,School,CP3,17,1,11
Sunday,School,CP3,18,1,19
Sunday,School,CP3,19,2,42
Sunday,School,CP3,20,2,42
Sunday,School,CP3,21,2,22
Sunday,School,CP3,22,1,1
Sunday,School,CP3,23,1,1
Monday,School,CP3,0,1,1
Monday,School,CP3,1,1,1
Monday,School,CP3,2,1,1
Monday,School,CP3,3,1,1
Monday,School,CP3,4,1,1
Monday,School,CP3,5,1,1
Monday,School,CP3,6,1,2
Monday,School,CP3,7,1,11
Monday,School,CP3,8,1,34
Monday,School,CP3,9,4,56
Monday,School,CP3,10,5,63
Monday,School,CP3,11,7,67
Monday,School,CP3,12,7,67
Monday,School,CP3,13,7,67
Monday,School,CP3,14,7,71
Monday,School,CP3,15,7,69
Monday,School,CP3,16,8,68
Monday,School,CP3,17,8,62
Monday,School,CP3,18,7,42
Monday,School,CP3,19,1,28
Monday,School,CP3,20,1,19
Monday,School,CP3,21,1,16
Monday,School,CP3,22,1,6
Monday,School,CP3,23,1,3
Tuesday,School,CP3,0,1,0
Tuesday,School,CP3,1,1,0
Tuesday,School,CP3,2,1,1
Tuesday,School,CP3,3,1,1
Tuesday,School,CP3,4,1,1
Tuesday,School,CP3,5,1,1
Tuesday,School,CP3,6,1,1
Tuesday,School,CP3,7,2,14
Tuesday,School,CP3,8,1,43
Tuesday,School,CP3,9,2,70
Tuesday,School,CP3,10,2,77
Tuesday,School,CP3,11,2,80
Tuesday,School,CP3,12,4,81
Tuesday,School,CP3,13,4,82
Tuesday,School,CP3,14,6,80
Tuesday,School,CP3,15,7,77
Tuesday,School,CP3,16,7,78
Tuesday,School,CP3,17,5,69
Tuesday,School,CP3,18,4,43
Tuesday,School,CP3,19,4,26
Tuesday,School,CP3,20,3,21
Tuesday,School,CP3,21,2,18
Tuesday,School,CP3,22,1,14
Tuesday,School,CP3,23,0,3
Wednesday,School,CP3,0,0,1
Wednesday,School,CP3,7,0,17
Wednesday,School,CP3,8,2,45
Wednesday,School,CP3,9,4,61
Wednesday,School,CP3,10,7,73
Wednesday,School,CP3,11,7,74
Wednesday,School,CP3,12,6,74
Wednesday,School,CP3,13,6,70
Wednesday,School,CP3,14,6,72
Wednesday,School,CP3,15,5,73
Wednesday,School,CP3,16,7,69
Wednesday,School,CP3,17,7,62
Wednesday,School,CP3,18,5,38
Wednesday,School,CP3,19,4,27
Wednesday,School,CP3,20,2,27
Wednesday,School,CP3,21,2,23
Wednesday,School,CP3,22,1,18
Wednesday,School,CP3,23,1,6
Thursday,School,CP3,0,1,1
Thursday,School,CP3,1,1,2
Thursday,School,CP3,2,1,2
Thursday,School,CP3,3,1,2
Thursday,School,CP3,4,1,2
Thursday,School,CP3,5,1,2
Thursday,School,CP3,6,1,3
Thursday,School,CP3,7,1,11
Thursday,School,CP3,8,1,38
Thursday,School,CP3,9,3,52
Thursday,School,CP3,10,4,62
Thursday,School,CP3,11,4,66
Thursday,School,CP3,12,4,68
Thursday,School,CP3,13,3,67
Thursday,School,CP3,14,3,67
Thursday,School,CP3,15,6,65
Thursday,School,CP3,16,7,64
Thursday,School,CP3,17,6,54
Thursday,School,CP3,18,1,38
Thursday,School,CP3,19,1,21
Thursday,School,CP3,20,1,22
Thursday,School,CP3,21,1,22
Thursday,School,CP3,22,0,15
Thursday,School,CP3,23,0,5
Friday,School,CP3,0,1,0
Friday,School,CP3,1,1,0
Friday,School,CP3,2,1,0
Friday,School,CP3,3,1,0
Friday,School,CP3,4,1,0
Friday,School,CP3,5,1,1
Friday,School,CP3,6,1,3
Friday,School,CP3,7,1,10
Friday,School,CP3,8,0,34
Friday,School,CP3,9,1,47
Friday,School,CP3,10,4,55
Friday,School,CP3,11,4,56
Friday,School,CP3,12,4,58
Friday,School,CP3,13,4,65
Friday,School,CP3,14,6,71
Friday,School,CP3,15,6,73
Friday,School,CP3,16,6,73
Friday,School,CP3,17,5,68
Friday,School,CP3,18,3,81
Friday,School,CP3,19,2,89
Friday,School,CP3,20,1,88
Friday,School,CP3,21,2,81
Friday,School,CP3,22,1,37
Saturday,School,CP3,5,0,1
Saturday,School,CP3,6,0,1
Saturday,School,CP3,7,0,2
Saturday,School,CP3,8,0,5
Saturday,School,CP3,9,1,23
Saturday,School,CP3,10,1,32
Saturday,School,CP3,11,2,32
Saturday,School,CP3,12,2,32
Saturday,School,CP3,13,3,32
Saturday,School,CP3,14,3,62
Saturday,School,CP3,15,3,62
Saturday,School,CP3,16,2,52
Saturday,School,CP3,17,3,13
Saturday,School,CP3,18,3,12
Saturday,School,CP3,19,3,27
Saturday,School,CP3,20,3,26
Saturday,School,CP3,21,2,11
Saturday,School,CP3,22,2,2
Saturday,School,CP3,23,2,0
Sunday,School,CP3,0,1,0
Sunday,School,CP3,1,1,0
Sunday,School,CP3,2,1,0
Sunday,School,CP3,3,1,0
Sunday,School,CP3,4,1,0
Sunday,School,CP3,5,1,0
Sunday,School,CP3,6,1,0
Sunday,School,CP3,7,1,0
Sunday,School,CP3,8,1,6
Sunday,School,CP3,9,1,7
Sunday,School,CP3,10,1,11
Sunday,School,CP3,11,1,10
Sunday,School,CP3,12,1,10
Sunday,School,CP3,13,1,9
Sunday,School,CP3,14,1,38
Sunday,School,CP3,15,1,41
Sunday,School,CP3,16,1,42
Sunday,School,CP3,17,1,36
Sunday,School,CP3,18,1,42
Sunday,School,CP3,19,1,63
Sunday,School,CP3,20,1,63
Sunday,School,CP3,21,1,63
Sunday,School,CP3,22,1,10
Sunday,School,CP3,23,1,2
Monday,School,CP3,0,1,2
Monday,School,CP3,1,1,1
Monday,School,CP3,2,1,1
Monday,School,CP3,3,1,1
Monday,School,CP3,4,1,1
Monday,School,CP3,5,1,1
Monday,School,CP3,6,1,2
Monday,School,CP3,7,1,11
Monday,School,CP3,8,2,27
Monday,School,CP3,9,4,52
Monday,School,CP3,10,6,66
Monday,School,CP3,11,7,82
Monday,School,CP3,12,8,84
Monday,School,CP3,13,8,93
Monday,School,CP3,14,9,118
Monday,School,CP3,15,8,131
Monday,School,CP3,16,9,130
Monday,School,CP3,17,9,125
Monday,School,CP3,18,7,42
Monday,School,CP3,19,0,15
Monday,School,CP3,20,0,14
Monday,School,CP3,21,0,13
Monday,School,CP3,22,1,4
Monday,School,CP3,23,1,2
Tuesday,School,CP3,0,1,0
Tuesday,School,CP3,1,1,0
Tuesday,School,CP3,2,1,1
Tuesday,School,CP3,3,1,1
Tuesday,School,CP3,4,1,1
Tuesday,School,CP3,5,1,1
Tuesday,School,CP3,6,1,5
Tuesday,School,CP3,7,1,14
Tuesday,School,CP3,8,1,38
Tuesday,School,CP3,9,4,69
Tuesday,School,CP3,10,4,79
Tuesday,School,CP3,11,4,80
Tuesday,School,CP3,12,4,79
Tuesday,School,CP3,13,4,86
Tuesday,School,CP3,14,5,89
Tuesday,School,CP3,15,7,86
Tuesday,School,CP3,16,7,82
Tuesday,School,CP3,17,8,71
Tuesday,School,CP3,18,5,42
Tuesday,School,CP3,19,4,35
Tuesday,School,CP3,20,3,32
Tuesday,School,CP3,21,1,28
Tuesday,School,CP3,22,1,23
Tuesday,School,CP3,23,0,1
Wednesday,School,CP3,0,1,1
Wednesday,School,CP3,1,1,1
Wednesday,School,CP3,2,1,2
Wednesday,School,CP3,3,1,2
Wednesday,School,CP3,4,1,2
Wednesday,School,CP3,5,1,2
Wednesday,School,CP3,6,1,3
Wednesday,School,CP3,7,1,15
Wednesday,School,CP3,8,2,46
Wednesday,School,CP3,9,5,63
Wednesday,School,CP3,10,6,80
Wednesday,School,CP3,11,6,82
Wednesday,School,CP3,12,7,84
Wednesday,School,CP3,13,6,83
Wednesday,School,CP3,14,5,84
Wednesday,School,CP3,15,5,79
Wednesday,School,CP3,16,7,74
Wednesday,School,CP3,17,7,72
Wednesday,School,CP3,18,5,39
Wednesday,School,CP3,19,2,21
Wednesday,School,CP3,20,2,21
Wednesday,School,CP3,21,2,13
Wednesday,School,CP3,22,0,5
Wednesday,School,CP3,23,0,4
Thursday,School,CP3,0,0,1
Thursday,School,CP3,1,0,1
Thursday,School,CP3,2,0,1
Thursday,School,CP3,3,0,1
Thursday,School,CP3,4,0,1
Thursday,School,CP3,5,0,1
Thursday,School,CP3,6,0,3
Thursday,School,CP3,7,0,12
Thursday,School,CP3,8,0,36
Thursday,School,CP3,9,1,52
Thursday,School,CP3,10,3,64
Thursday,School,CP3,11,4,70
Thursday,School,CP3,12,4,75
Thursday,School,CP3,13,4,77
Thursday,School,CP3,14,6,79
Thursday,School,CP3,15,6,78
Thursday,School,CP3,16,7,77
Thursday,School,CP3,17,7,72
Thursday,School,CP3,18,7,42
Thursday,School,CP3,19,3,64
Thursday,School,CP3,20,3,63
Thursday,School,CP3,21,3,60
Thursday,School,CP3,22,1,31
Thursday,School,CP3,23,0,2
Friday,School,CP3,0,0,2
Friday,School,CP3,1,0,2
Friday,School,CP3,2,0,2
Friday,School,CP3,3,0,2
Friday,School,CP3,4,0,2
Friday,School,CP3,5,0,2
Friday,School,CP3,6,0,5
Friday,School,CP3,7,0,15
Friday,School,CP3,8,0,34
Friday,School,CP3,9,3,48
Friday,School,CP3,10,5,56
Friday,School,CP3,11,6,67
Friday,School,CP3,12,7,66
Friday,School,CP3,13,6,66
Friday,School,CP3,14,5,60
Friday,School,CP3,15,5,60
Friday,School,CP3,16,6,49
Friday,School,CP3,17,6,45
Friday,School,CP3,18,4,30
Friday,School,CP3,19,1,13
Friday,School,CP3,20,0,8
Friday,School,CP3,21,0,5
Friday,School,CP3,22,0,3
Friday,School,CP3,23,0,1
Saturday,School,CP3,0,0,1
Saturday,School,CP3,1,0,1
Saturday,School,CP3,7,0,1
Saturday,School,CP3,8,1,5
Saturday,School,CP3,9,2,8
Saturday,School,CP3,10,1,13
Saturday,School,CP3,11,2,15
Saturday,School,CP3,12,4,13
Saturday,School,CP3,13,4,14
Saturday,School,CP3,14,3,15
Saturday,School,CP3,15,2,16
Saturday,School,CP3,16,3,15
Saturday,School,CP3,17,3,14
Saturday,School,CP3,18,5,15
Saturday,School,CP3,19,8,31
Saturday,School,CP3,20,8,31
Saturday,School,CP3,21,7,29
Saturday,School,CP3,22,1,8
Saturday,School,CP3,23,1,1
Sunday,School,CP3,0,1,1
Sunday,School,CP3,1,1,1
Sunday,School,CP3,2,2,1
Sunday,School,CP3,3,2,1
Sunday,School,CP3,4,2,1
Sunday,School,CP3,5,2,1
Sunday,School,CP3,6,2,1
Sunday,School,CP3,7,2,3
Sunday,School,CP3,8,2,9
Sunday,School,CP3,9,2,7
Sunday,School,CP3,10,3,14
Sunday,School,CP3,11,3,14
Sunday,School,CP3,12,3,8
Sunday,School,CP3,13,4,15
Sunday,School,CP3,14,4,16
Sunday,School,CP3,15,3,17
Sunday,School,CP3,16,2,14
Sunday,School,CP3,17,3,11
Sunday,School,CP3,18,3,9
Sunday,School,CP3,19,3,9
Sunday,School,CP3,20,2,2
Sunday,School,CP3,21,2,1
Sunday,School,CP3,22,2,1
Sunday,School,CP3,23,2,1
Monday,School,CP3,0,2,0
Monday,School,CP3,1,2,0
Monday,School,CP3,2,2,0
Monday,School,CP3,3,2,0
Monday,School,CP3,4,2,0
Monday,School,CP3,5,2,0
Monday,School,CP3,6,2,2
Monday,School,CP3,7,3,11
Monday,School,CP3,8,3,27
Monday,School,CP3,9,5,54
Monday,School,CP3,10,6,56
Monday,School,CP3,11,6,69
Monday,School,CP3,12,7,73
Monday,School,CP3,13,8,68
Monday,School,CP3,14,10,74
Monday,School,CP3,15,9,74
Monday,School,CP3,16,7,70
Monday,School,CP3,17,8,62
Monday,School,CP3,18,6,39
Monday,School,CP3,19,3,19
Monday,School,CP3,20,1,15
Monday,School,CP3,21,0,10
Monday,School,CP3,22,0,3
Monday,School,CP3,23,0,1
Tuesday,School,CP3,0,0,2
Tuesday,School,CP3,1,0,2
Tuesday,School,CP3,2,0,2
Tuesday,School,CP3,3,0,2
Tuesday,School,CP3,4,0,2
Tuesday,School,CP3,5,0,2
Tuesday,School,CP3,6,0,10
Tuesday,School,CP3,7,0,25
Tuesday,School,CP3,8,2,52
Tuesday,School,CP3,9,4,68
Tuesday,School,CP3,10,4,85
Tuesday,School,CP3,11,5,90
Tuesday,School,CP3,12,6,92
Tuesday,School,CP3,13,5,107
Tuesday,School,CP3,14,5,117
Tuesday,School,CP3,15,6,116
Tuesday,School,CP3,16,5,108
Tuesday,School,CP3,17,3,102
Tuesday,School,CP3,18,3,72
Tuesday,School,CP3,19,4,50
Tuesday,School,CP3,20,3,22
Tuesday,School,CP3,21,1,11
Tuesday,School,CP3,22,1,4
Tuesday,School,CP3,23,1,1
Wednesday,School,CP3,0,1,1
Wednesday,School,CP3,1,1,1
Wednesday,School,CP3,2,1,1
Wednesday,School,CP3,3,1,1
Wednesday,School,CP3,4,1,1
Wednesday,School,CP3,5,1,2
Wednesday,School,CP3,6,1,5
Wednesday,School,CP3,7,1,15
Wednesday,School,CP3,8,4,33
Wednesday,School,CP3,9,4,55
Wednesday,School,CP3,10,7,70
Wednesday,School,CP3,11,7,69
Wednesday,School,CP3,12,5,70
Wednesday,School,CP3,13,5,72
Wednesday,School,CP3,14,6,74
Wednesday,School,CP3,15,6,74
Wednesday,School,CP3,16,7,70
Wednesday,School,CP3,17,7,60
Wednesday,School,CP3,18,6,34
Wednesday,School,CP3,19,5,19
Wednesday,School,CP3,20,4,13
Wednesday,School,CP3,21,3,8
Wednesday,School,CP3,22,1,2
Wednesday,School,CP3,23,1,0
Thursday,School,CP3,0,1,0
Thursday,School,CP3,1,1,1
Thursday,School,CP3,2,1,1
Thursday,School,CP3,3,1,1
Thursday,School,CP3,4,1,1
Thursday,School,CP3,5,1,1
Thursday,School,CP3,6,1,3
Thursday,School,CP3,7,1,10
Thursday,School,CP3,8,2,29
Thursday,School,CP3,9,4,58
Thursday,School,CP3,10,5,70
Thursday,School,CP3,11,5,77
Thursday,School,CP3,12,5,79
Thursday,School,CP3,13,5,90
Thursday,School,CP3,14,7,94
Thursday,School,CP3,15,7,95
Thursday,School,CP3,16,6,92
Thursday,School,CP3,17,5,78
Thursday,School,CP3,18,3,60
Thursday,School,CP3,19,4,95
Thursday,School,CP3,20,4,95
Thursday,School,CP3,21,4,89
Thursday,School,CP3,22,1,32
Thursday,School,CP3,23,1,2
Friday,School,CP3,0,1,1
Friday,School,CP3,1,1,1
Friday,School,CP3,2,1,1
Friday,School,CP3,3,1,1
Friday,School,CP3,4,1,1
Friday,School,CP3,5,1,1
Friday,School,CP3,6,1,4
Friday,School,CP3,7,2,11
Friday,School,CP3,8,3,33
Friday,School,CP3,9,4,58
Friday,School,CP3,10,5,65
Friday,School,CP3,11,7,63
Friday,School,CP3,12,8,73
Friday,School,CP3,13,7,83
Friday,School,CP3,14,7,97
Friday,School,CP3,15,6,96
Friday,School,CP3,16,5,90
Friday,School,CP3,17,5,81
Friday,School,CP3,18,4,60
Friday,School,CP3,19,1,15
Friday,School,CP3,20,1,11
Friday,School,CP3,21,1,10
Friday,School,CP3,22,1,8
Friday,School,CP3,23,1,1
Saturday,School,CP3,0,2,0
Saturday,School,CP3,1,2,0
Saturday,School,CP3,2,2,0
Saturday,School,CP3,3,2,0
Saturday,School,CP3,4,2,0
Saturday,School,CP3,5,2,0
Saturday,School,CP3,6,2,0
Saturday,School,CP3,7,2,0
Saturday,School,CP3,8,2,4
Saturday,School,CP3,9,4,4
Saturday,School,CP3,10,3,12
Saturday,School,CP3,11,4,12
Saturday,School,CP3,12,4,14
Saturday,School,CP3,13,4,14
Saturday,School,CP3,14,2,17
Saturday,School,CP3,15,2,23
Saturday,School,CP3,16,4,15
Saturday,School,CP3,17,4,12
Saturday,School,CP3,18,3,25
Saturday,School,CP3,19,1,38
Saturday,School,CP3,20,1,38
Saturday,School,CP3,21,1,37
Saturday,School,CP3,22,1,9
Saturday,School,CP3,23,1,1
Sunday,School,CP3,0,1,1
Sunday,School,CP3,1,1,1
Sunday,School,CP3,2,1,1
Sunday,School,CP3,3,1,1
Sunday,School,CP3,4,1,1
Sunday,School,CP3,5,1,1
Sunday,School,CP3,6,1,1
Sunday,School,CP3,7,1,1
Sunday,School,CP3,8,1,5
Sunday,School,CP3,9,1,4
Sunday,School,CP3,10,2,9
Sunday,School,CP3,11,2,10
Sunday,School,CP3,12,2,10
Sunday,School,CP3,13,2,9
Sunday,School,CP3,14,1,17
Sunday,School,CP3,15,1,21
Sunday,School,CP3,16,1,22
Sunday,School,CP3,17,1,22
Sunday,School,CP3,18,1,4
Sunday,School,CP3,19,1,3
Sunday,School,CP3,20,1,3
Sunday,School,CP3,21,1,2
Sunday,School,CP3,22,2,2
Sunday,School,CP3,23,2,1
Monday,School,CP3,0,2,1
Monday,School,CP3,1,2,1
Monday,School,CP3,2,2,1
Monday,School,CP3,3,2,1
Monday,School,CP3,4,2,1
Monday,School,CP3,5,2,1
Monday,School,CP3,6,2,3
Monday,School,CP3,7,2,12
Monday,School,CP3,8,1,35
Monday,School,CP3,9,6,65
Monday,School,CP3,10,6,71
Monday,School,CP3,11,7,76
Monday,School,CP3,12,7,78
Monday,School,CP3,13,7,78
Monday,School,CP3,14,8,79
Monday,School,CP3,15,8,75
Monday,School,CP3,16,6,75
Monday,School,CP3,17,5,71
Monday,School,CP3,18,3,46
Monday,School,CP3,19,0,27
Monday,School,CP3,20,0,17
